Project,Client,Title,Duration
SOS1920-07,,#1 Hacer el L02,00:00:38
SOS1920-07,,#1 Tarea 13 (GoormIDE y NODEJS),00:33:26
SOS1920-07,,#10 Realizar tracking de tiempo con Toggl en el proyecto,03:03:15
SOS1920-07,,#11 Tarea 5 (Jorge),02:26:33
SOS1920-07,,"#12 Tarea 6 , 9 y 10  (Jorge)",01:45:34
SOS1920-07,,"#13 Tarea 7 , 8 (Jorge)",02:00:04
SOS1920-07,,#14 Tarea 13,07:05:37
SOS1920-07,,#15 Tarea 3,06:42:31
SOS1920-07,,#16 Tarea 3: Paginación (Jorge),01:18:02
SOS1920-07,,#17 Tarea 4 : Persistencia (Jorge),03:39:16
SOS1920-07,,#19 Tarea 2,07:20:44
SOS1920-07,,#2 Tarea 8 (Sincronizar y registrar repositorio asignatura),00:29:19
SOS1920-07,,#20 D02,15:32:51
SOS1920-07,,#20 D03,24:03:20
SOS1920-07,,#3 Crear al menos una issue reflejando alguna de las tareas de este feedback,00:00:09
SOS1920-07,,#4 My issue,00:01:31
SOS1920-07,,#5 Tener al menos 3 horas dedicadas registradas.,03:01:04
SOS1920-07,,#6 Tarea 2 (Grupo),00:24:23
SOS1920-07,,#7 Tarea 3 (Grupo),00:05:37
SOS1920-07,,#9 Tarea Opcional (Grupo),04:19:26
SOS1920-07,,#9 Tarea Opcional (Jorge),00:00:37
SOS1920-07,,D02,20:35:00
SOS1920-07,,D03,39:20:00
,,,94:43:36
